textbox9,textbox2,Textbox34,,,,,,,
Nationality(s): All Nationalities,State(s): All States,Data prior to 2002 was migrated into WRAPS from a legacy system therefore we are providing post-2002 data.,,,,,,,
,,,,,,,,,
Textbox87,Textbox82,nat_definition4,region_name_3,textbox37,Category3,textbox39,Assur_DestinationCity1,Cases3,Cases4
From: 01 Jan 2014,To: 31 Dec 2015,Alabama,CY 2014,116,Afghanistan,1,Mobile,1,"72,820"
From: 01 Jan 2014,To: 31 Dec 2015,Alabama,CY 2015,97,Afghanistan,0,Mobile,0,"66,517"
From: 01 Jan 2014,To: 31 Dec 2015,Alabama,CY 2014,116,Burma,14,Birmingham,0,"72,820"
From: 01 Jan 2014,To: 31 Dec 2015,Alabama,CY 2015,97,Burma,14,Birmingham,1,"66,517"
From: 01 Jan 2014,To: 31 Dec 2015,Alabama,CY 2014,116,Burma,14,Mobile,14,"72,820"
From: 01 Jan 2014,To: 31 Dec 2015,Alabama,CY 2015,97,Burma,14,Mobile,13,"66,517"
From: 01 Jan 2014,To: 31 Dec 2015,Alabama,CY 2014,116,Colombia,5,Mobile,5,"72,820"
From: 01 Jan 2014,To: 31 Dec 2015,Alabama,CY 2015,97,Colombia,8,Mobile,8,"66,517"
From: 01 Jan 2014,To: 31 Dec 2015,Alabama,CY 2014,116,Cuba,10,Mobile,10,"72,820"
From: 01 Jan 2014,To: 31 Dec 2015,Alabama,CY 2015,97,Cuba,0,Mobile,0,"66,517"
From: 01 Jan 2014,To: 31 Dec 2015,Alabama,CY 2014,116,Dem. Rep. Congo,5,Mobile,5,"72,820"
From: 01 Jan 2014,To: 31 Dec 2015,Alabama,CY 2015,97,Dem. Rep. Congo,42,Mobile,42,"66,517"
From: 01 Jan 2014,To: 31 Dec 2015,Alabama,CY 2014,116,Eritrea,2,Mobile,2,"72,820"
From: 01 Jan 2014,To: 31 Dec 2015,Alabama,CY 2015,97,Eritrea,0,Mobile,0,"66,517"
From: 01 Jan 2014,To: 31 Dec 2015,Alabama,CY 2014,116,Ethiopia,3,Elba,2,"72,820"
From: 01 Jan 2014,To: 31 Dec 2015,Alabama,CY 2015,97,Ethiopia,1,Elba,0,"66,517"
From: 01 Jan 2014,To: 31 Dec 2015,Alabama,CY 2014,116,Ethiopia,3,Guntersville,0,"72,820"
From: 01 Jan 2014,To: 31 Dec 2015,Alabama,CY 2015,97,Ethiopia,1,Guntersville,1,"66,517"
From: 01 Jan 2014,To: 31 Dec 2015,Alabama,CY 2014,116,Ethiopia,3,Mobile,1,"72,820"
From: 01 Jan 2014,To: 31 Dec 2015,Alabama,CY 2015,97,Ethiopia,1,Mobile,0,"66,517"
From: 01 Jan 2014,To: 31 Dec 2015,Alabama,CY 2014,116,Iran,3,Mobile,3,"72,820"
From: 01 Jan 2014,To: 31 Dec 2015,Alabama,CY 2015,97,Iran,5,Mobile,5,"66,517"
From: 01 Jan 2014,To: 31 Dec 2015,Alabama,CY 2014,116,Iraq,36,Foley,7,"72,820"
From: 01 Jan 2014,To: 31 Dec 2015,Alabama,CY 2015,97,Iraq,16,Foley,0,"66,517"
From: 01 Jan 2014,To: 31 Dec 2015,Alabama,CY 2014,116,Iraq,36,Mobile,29,"72,820"
From: 01 Jan 2014,To: 31 Dec 2015,Alabama,CY 2015,97,Iraq,16,Mobile,16,"66,517"
From: 01 Jan 2014,To: 31 Dec 2015,Alabama,CY 2014,116,Ivory Coast,1,Mobile,1,"72,820"
From: 01 Jan 2014,To: 31 Dec 2015,Alabama,CY 2015,97,Ivory Coast,0,Mobile,0,"66,517"
From: 01 Jan 2014,To: 31 Dec 2015,Alabama,CY 2014,116,Somalia,22,Mobile,22,"72,820"
From: 01 Jan 2014,To: 31 Dec 2015,Alabama,CY 2015,97,Somalia,10,Mobile,10,"66,517"
From: 01 Jan 2014,To: 31 Dec 2015,Alabama,CY 2014,116,Sudan,14,Mobile,14,"72,820"
From: 01 Jan 2014,To: 31 Dec 2015,Alabama,CY 2015,97,Sudan,1,Mobile,1,"66,517"
From: 01 Jan 2014,To: 31 Dec 2015,Alaska,CY 2014,203,Bhutan,10,Anchorage,10,"72,820"
From: 01 Jan 2014,To: 31 Dec 2015,Alaska,CY 2015,110,Bhutan,4,Anchorage,4,"66,517"
From: 01 Jan 2014,To: 31 Dec 2015,Alaska,CY 2014,203,Burma,4,Anchorage,4,"72,820"
From: 01 Jan 2014,To: 31 Dec 2015,Alaska,CY 2015,110,Burma,17,Anchorage,17,"66,517"
From: 01 Jan 2014,To: 31 Dec 2015,Alaska,CY 2014,203,Congo,3,Anchorage,3,"72,820"
From: 01 Jan 2014,To: 31 Dec 2015,Alaska,CY 2015,110,Congo,0,Anchorage,0,"66,517"
From: 01 Jan 2014,To: 31 Dec 2015,Alaska,CY 2014,203,Cuba,6,Anchorage,6,"72,820"
