textbox9,textbox2,Textbox34,,,,,,,
Nationality(s): All Nationalities,State(s): All States,Data prior to 2002 was migrated into WRAPS from a legacy system therefore we are providing post-2002 data.,,,,,,,
,,,,,,,,,
Textbox87,Textbox82,nat_definition4,region_name_3,textbox37,Category3,textbox39,Assur_DestinationCity1,Cases3,Cases4
From: 01 Jan 2016,To: 31 Dec 2017,Alaska,CY 2017,65,Sudan,0,Anchorage,0,"33,368"
From: 01 Jan 2016,To: 31 Dec 2017,Alaska,CY 2016,112,Ukraine,22,Anchorage,1,"96,874"
From: 01 Jan 2016,To: 31 Dec 2017,Alaska,CY 2017,65,Ukraine,40,Anchorage,3,"33,368"
From: 01 Jan 2016,To: 31 Dec 2017,Alaska,CY 2016,112,Ukraine,22,Sterling,5,"96,874"
From: 01 Jan 2016,To: 31 Dec 2017,Alaska,CY 2017,65,Ukraine,40,Sterling,0,"33,368"
From: 01 Jan 2016,To: 31 Dec 2017,Alaska,CY 2016,112,Ukraine,22,Wasilla,16,"96,874"
From: 01 Jan 2016,To: 31 Dec 2017,Alaska,CY 2017,65,Ukraine,40,Wasilla,37,"33,368"
From: 01 Jan 2016,To: 31 Dec 2017,Arizona,CY 2016,"4,829",Afghanistan,191,Glendale,19,"96,874"
From: 01 Jan 2016,To: 31 Dec 2017,Arizona,CY 2017,"1,044",Afghanistan,65,Glendale,10,"33,368"
From: 01 Jan 2016,To: 31 Dec 2017,Arizona,CY 2016,"4,829",Afghanistan,191,Phoenix,125,"96,874"
From: 01 Jan 2016,To: 31 Dec 2017,Arizona,CY 2017,"1,044",Afghanistan,65,Phoenix,45,"33,368"
From: 01 Jan 2016,To: 31 Dec 2017,Arizona,CY 2016,"4,829",Afghanistan,191,Tucson,47,"96,874"
From: 01 Jan 2016,To: 31 Dec 2017,Arizona,CY 2017,"1,044",Afghanistan,65,Tucson,10,"33,368"
From: 01 Jan 2016,To: 31 Dec 2017,Arizona,CY 2016,"4,829",Bhutan,34,Glendale,15,"96,874"
From: 01 Jan 2016,To: 31 Dec 2017,Arizona,CY 2017,"1,044",Bhutan,15,Glendale,3,"33,368"
From: 01 Jan 2016,To: 31 Dec 2017,Arizona,CY 2016,"4,829",Bhutan,34,Phoenix,12,"96,874"
From: 01 Jan 2016,To: 31 Dec 2017,Arizona,CY 2017,"1,044",Bhutan,15,Phoenix,3,"33,368"
From: 01 Jan 2016,To: 31 Dec 2017,Arizona,CY 2016,"4,829",Bhutan,34,Tucson,7,"96,874"
From: 01 Jan 2016,To: 31 Dec 2017,Arizona,CY 2017,"1,044",Bhutan,15,Tucson,9,"33,368"
From: 01 Jan 2016,To: 31 Dec 2017,Arizona,CY 2016,"4,829",Burma,242,Glendale,116,"96,874"
From: 01 Jan 2016,To: 31 Dec 2017,Arizona,CY 2017,"1,044",Burma,61,Glendale,25,"33,368"
From: 01 Jan 2016,To: 31 Dec 2017,Arizona,CY 2016,"4,829",Burma,242,Phoenix,125,"96,874"
From: 01 Jan 2016,To: 31 Dec 2017,Arizona,CY 2017,"1,044",Burma,61,Phoenix,34,"33,368"
From: 01 Jan 2016,To: 31 Dec 2017,Arizona,CY 2016,"4,829",Burma,242,Tucson,1,"96,874"
From: 01 Jan 2016,To: 31 Dec 2017,Arizona,CY 2017,"1,044",Burma,61,Tucson,2,"33,368"
From: 01 Jan 2016,To: 31 Dec 2017,Arizona,CY 2016,"4,829",Burundi,92,Glendale,1,"96,874"
From: 01 Jan 2016,To: 31 Dec 2017,Arizona,CY 2017,"1,044",Burundi,17,Glendale,0,"33,368"
From: 01 Jan 2016,To: 31 Dec 2017,Arizona,CY 2016,"4,829",Burundi,92,Phoenix,16,"96,874"
