textbox9,textbox2,Textbox34,,,,,,,
Nationality(s): All Nationalities,State(s): All States,Data prior to 2002 was migrated into WRAPS from a legacy system therefore we are providing post-2002 data.,,,,,,,
,,,,,,,,,
Textbox87,Textbox82,nat_definition4,region_name_3,textbox37,Category3,textbox39,Assur_DestinationCity1,Cases3,Cases4
From: 01 Jan 2018,To: 31 Dec 2019,Alabama,CY 2018,35,Burma,1,Birmingham,1,"22,874"
From: 01 Jan 2018,To: 31 Dec 2019,Alabama,CY 2019,0,Burma,0,Birmingham,0,"8,135"
From: 01 Jan 2018,To: 31 Dec 2019,Alabama,CY 2018,35,Dem. Rep. Congo,22,Mobile,22,"22,874"
From: 01 Jan 2018,To: 31 Dec 2019,Alabama,CY 2019,0,Dem. Rep. Congo,0,Mobile,0,"8,135"
From: 01 Jan 2018,To: 31 Dec 2019,Alabama,CY 2018,35,El Salvador,1,Robertsdale,1,"22,874"
From: 01 Jan 2018,To: 31 Dec 2019,Alabama,CY 2019,0,El Salvador,0,Robertsdale,0,"8,135"
From: 01 Jan 2018,To: 31 Dec 2019,Alabama,CY 2018,35,Somalia,3,Mobile,3,"22,874"
From: 01 Jan 2018,To: 31 Dec 2019,Alabama,CY 2019,0,Somalia,0,Mobile,0,"8,135"
From: 01 Jan 2018,To: 31 Dec 2019,Alabama,CY 2018,35,Vietnam,8,Birmingham,5,"22,874"
From: 01 Jan 2018,To: 31 Dec 2019,Alabama,CY 2019,0,Vietnam,0,Birmingham,0,"8,135"
From: 01 Jan 2018,To: 31 Dec 2019,Alabama,CY 2018,35,Vietnam,8,Jasper,3,"22,874"
From: 01 Jan 2018,To: 31 Dec 2019,Alabama,CY 2019,0,Vietnam,0,Jasper,0,"8,135"
From: 01 Jan 2018,To: 31 Dec 2019,Alaska,CY 2018,33,Dem. Rep. Congo,6,Anchorage,6,"22,874"
From: 01 Jan 2018,To: 31 Dec 2019,Alaska,CY 2019,7,Dem. Rep. Congo,2,Anchorage,2,"8,135"
From: 01 Jan 2018,To: 31 Dec 2019,Alaska,CY 2018,33,Moldova,4,Wasilla,4,"22,874"
From: 01 Jan 2018,To: 31 Dec 2019,Alaska,CY 2019,7,Moldova,0,Wasilla,0,"8,135"
From: 01 Jan 2018,To: 31 Dec 2019,Alaska,CY 2018,33,Sudan,5,Anchorage,5,"22,874"
From: 01 Jan 2018,To: 31 Dec 2019,Alaska,CY 2019,7,Sudan,0,Anchorage,0,"8,135"
From: 01 Jan 2018,To: 31 Dec 2019,Alaska,CY 2018,33,Ukraine,18,Anchorage,5,"22,874"
From: 01 Jan 2018,To: 31 Dec 2019,Alaska,CY 2019,7,Ukraine,5,Anchorage,0,"8,135"
From: 01 Jan 2018,To: 31 Dec 2019,Alaska,CY 2018,33,Ukraine,18,Delta Junction,13,"22,874"
From: 01 Jan 2018,To: 31 Dec 2019,Alaska,CY 2019,7,Ukraine,5,Delta Junction,0,"8,135"
From: 01 Jan 2018,To: 31 Dec 2019,Alaska,CY 2018,33,Ukraine,18,Wasilla,0,"22,874"
From: 01 Jan 2018,To: 31 Dec 2019,Alaska,CY 2019,7,Ukraine,5,Wasilla,5,"8,135"
From: 01 Jan 2018,To: 31 Dec 2019,Arizona,CY 2018,"1,054",Afghanistan,85,Glendale,32,"22,874"
From: 01 Jan 2018,To: 31 Dec 2019,Arizona,CY 2019,317,Afghanistan,16,Glendale,1,"8,135"
From: 01 Jan 2018,To: 31 Dec 2019,Arizona,CY 2018,"1,054",Afghanistan,85,Phoenix,41,"22,874"
From: 01 Jan 2018,To: 31 Dec 2019,Arizona,CY 2019,317,Afghanistan,16,Phoenix,9,"8,135"
From: 01 Jan 2018,To: 31 Dec 2019,Arizona,CY 2018,"1,054",Afghanistan,85,Tucson,12,"22,874"
From: 01 Jan 2018,To: 31 Dec 2019,Arizona,CY 2019,317,Afghanistan,16,Tucson,6,"8,135"
From: 01 Jan 2018,To: 31 Dec 2019,Arizona,CY 2018,"1,054",Algeria,1,Phoenix,1,"22,874"
From: 01 Jan 2018,To: 31 Dec 2019,Arizona,CY 2019,317,Algeria,0,Phoenix,0,"8,135"
From: 01 Jan 2018,To: 31 Dec 2019,Arizona,CY 2018,"1,054",Bhutan,5,Tucson,5,"22,874"
From: 01 Jan 2018,To: 31 Dec 2019,Arizona,CY 2019,317,Bhutan,0,Tucson,0,"8,135"
From: 01 Jan 2018,To: 31 Dec 2019,Arizona,CY 2018,"1,054",Burma,81,Glendale,34,"22,874"
From: 01 Jan 2018,To: 31 Dec 2019,Arizona,CY 2019,317,Burma,31,Glendale,13,"8,135"
From: 01 Jan 2018,To: 31 Dec 2019,Arizona,CY 2018,"1,054",Burma,81,Phoenix,47,"22,874"
From: 01 Jan 2018,To: 31 Dec 2019,Arizona,CY 2019,317,Burma,31,Phoenix,18,"8,135"
