textbox9,textbox2,Textbox34,,,,,,,
Nationality(s): All Nationalities,State(s): All States,Data prior to 2002 was migrated into WRAPS from a legacy system therefore we are providing post-2002 data.,,,,,,,
,,,,,,,,,
Textbox87,Textbox82,nat_definition4,region_name_3,textbox37,Category3,textbox39,Assur_DestinationCity1,Cases3,Cases4
From: 01 Jan 2006,To: 31 Dec 2007,Alabama,CY 2006,56,Burma,0,Mobile,0,"39,552"
From: 01 Jan 2006,To: 31 Dec 2007,Alabama,CY 2007,137,Burma,7,Mobile,6,"47,753"
From: 01 Jan 2006,To: 31 Dec 2007,Alabama,CY 2006,56,Burma,0,Montgomery,0,"39,552"
From: 01 Jan 2006,To: 31 Dec 2007,Alabama,CY 2007,137,Burma,7,Montgomery,1,"47,753"
From: 01 Jan 2006,To: 31 Dec 2007,Alabama,CY 2006,56,Burundi,0,Mobile,0,"39,552"
From: 01 Jan 2006,To: 31 Dec 2007,Alabama,CY 2007,137,Burundi,40,Mobile,40,"47,753"
From: 01 Jan 2006,To: 31 Dec 2007,Alabama,CY 2006,56,Cuba,3,Mobile,3,"39,552"
From: 01 Jan 2006,To: 31 Dec 2007,Alabama,CY 2007,137,Cuba,21,Mobile,21,"47,753"
From: 01 Jan 2006,To: 31 Dec 2007,Alabama,CY 2006,56,Dem. Rep. Congo,0,Mobile,0,"39,552"
From: 01 Jan 2006,To: 31 Dec 2007,Alabama,CY 2007,137,Dem. Rep. Congo,6,Mobile,6,"47,753"
From: 01 Jan 2006,To: 31 Dec 2007,Alabama,CY 2006,56,Eritrea,0,Mobile,0,"39,552"
From: 01 Jan 2006,To: 31 Dec 2007,Alabama,CY 2007,137,Eritrea,5,Mobile,5,"47,753"
From: 01 Jan 2006,To: 31 Dec 2007,Alabama,CY 2006,56,Iran,0,Mobile,0,"39,552"
From: 01 Jan 2006,To: 31 Dec 2007,Alabama,CY 2007,137,Iran,6,Mobile,6,"47,753"
From: 01 Jan 2006,To: 31 Dec 2007,Alabama,CY 2006,56,Liberia,4,Phenix City,4,"39,552"
From: 01 Jan 2006,To: 31 Dec 2007,Alabama,CY 2007,137,Liberia,0,Phenix City,0,"47,753"
From: 01 Jan 2006,To: 31 Dec 2007,Alabama,CY 2006,56,Russia,30,Mobile,30,"39,552"
From: 01 Jan 2006,To: 31 Dec 2007,Alabama,CY 2007,137,Russia,7,Mobile,7,"47,753"
From: 01 Jan 2006,To: 31 Dec 2007,Alabama,CY 2006,56,Somalia,2,Mobile,2,"39,552"
From: 01 Jan 2006,To: 31 Dec 2007,Alabama,CY 2007,137,Somalia,30,Mobile,30,"47,753"
From: 01 Jan 2006,To: 31 Dec 2007,Alabama,CY 2006,56,Sudan,17,Mobile,17,"39,552"
From: 01 Jan 2006,To: 31 Dec 2007,Alabama,CY 2007,137,Sudan,0,Mobile,0,"47,753"
From: 01 Jan 2006,To: 31 Dec 2007,Alabama,CY 2006,56,Vietnam,0,Mobile,0,"39,552"
From: 01 Jan 2006,To: 31 Dec 2007,Alabama,CY 2007,137,Vietnam,15,Mobile,15,"47,753"
From: 01 Jan 2006,To: 31 Dec 2007,Alaska,CY 2006,37,Cuba,4,Fairbanks,4,"39,552"
From: 01 Jan 2006,To: 31 Dec 2007,Alaska,CY 2007,17,Cuba,0,Fairbanks,0,"47,753"
From: 01 Jan 2006,To: 31 Dec 2007,Alaska,CY 2006,37,Moldova,4,Delta Junction,4,"39,552"
From: 01 Jan 2006,To: 31 Dec 2007,Alaska,CY 2007,17,Moldova,2,Delta Junction,2,"47,753"
From: 01 Jan 2006,To: 31 Dec 2007,Alaska,CY 2006,37,Russia,1,Anchorage,0,"39,552"
From: 01 Jan 2006,To: 31 Dec 2007,Alaska,CY 2007,17,Russia,6,Anchorage,6,"47,753"
From: 01 Jan 2006,To: 31 Dec 2007,Alaska,CY 2006,37,Russia,1,Wasilla,1,"39,552"
From: 01 Jan 2006,To: 31 Dec 2007,Alaska,CY 2007,17,Russia,6,Wasilla,0,"47,753"
From: 01 Jan 2006,To: 31 Dec 2007,Alaska,CY 2006,37,Ukraine,18,Wasilla,18,"39,552"
From: 01 Jan 2006,To: 31 Dec 2007,Alaska,CY 2007,17,Ukraine,0,Wasilla,0,"47,753"
From: 01 Jan 2006,To: 31 Dec 2007,Alaska,CY 2006,37,Uzbekistan,6,Anchorage,6,"39,552"
From: 01 Jan 2006,To: 31 Dec 2007,Alaska,CY 2007,17,Uzbekistan,9,Anchorage,9,"47,753"
From: 01 Jan 2006,To: 31 Dec 2007,Alaska,CY 2006,37,Vietnam,4,Fairbanks,4,"39,552"
From: 01 Jan 2006,To: 31 Dec 2007,Alaska,CY 2007,17,Vietnam,0,Fairbanks,0,"47,753"
From: 01 Jan 2006,To: 31 Dec 2007,Arizona,CY 2006,"1,439",Afghanistan,85,Glendale,4,"39,552"
