textbox9,textbox2,Textbox34,,,,,,,
Nationality(s): All Nationalities,State(s): All States,Data prior to 2002 was migrated into WRAPS from a legacy system therefore we are providing post-2002 data.,,,,,,,
,,,,,,,,,
Textbox87,Textbox82,nat_definition4,region_name_3,textbox37,Category3,textbox39,Assur_DestinationCity1,Cases3,Cases4
From: 01 Jan 2008,To: 31 Dec 2009,Alabama,CY 2008,165,Afghanistan,0,Mobile,0,"64,733"
From: 01 Jan 2008,To: 31 Dec 2009,Alabama,CY 2009,211,Afghanistan,5,Mobile,5,"79,942"
From: 01 Jan 2008,To: 31 Dec 2009,Alabama,CY 2008,165,Burma,4,Birmingham,2,"64,733"
From: 01 Jan 2008,To: 31 Dec 2009,Alabama,CY 2009,211,Burma,1,Birmingham,0,"79,942"
From: 01 Jan 2008,To: 31 Dec 2009,Alabama,CY 2008,165,Burma,4,Dothan,2,"64,733"
From: 01 Jan 2008,To: 31 Dec 2009,Alabama,CY 2009,211,Burma,1,Dothan,1,"79,942"
From: 01 Jan 2008,To: 31 Dec 2009,Alabama,CY 2008,165,Burundi,1,Mobile,1,"64,733"
From: 01 Jan 2008,To: 31 Dec 2009,Alabama,CY 2009,211,Burundi,8,Mobile,8,"79,942"
From: 01 Jan 2008,To: 31 Dec 2009,Alabama,CY 2008,165,Chad,2,Mobile,2,"64,733"
From: 01 Jan 2008,To: 31 Dec 2009,Alabama,CY 2009,211,Chad,0,Mobile,0,"79,942"
From: 01 Jan 2008,To: 31 Dec 2009,Alabama,CY 2008,165,Cuba,20,Birmingham,0,"64,733"
From: 01 Jan 2008,To: 31 Dec 2009,Alabama,CY 2009,211,Cuba,31,Birmingham,5,"79,942"
From: 01 Jan 2008,To: 31 Dec 2009,Alabama,CY 2008,165,Cuba,20,Calera,0,"64,733"
From: 01 Jan 2008,To: 31 Dec 2009,Alabama,CY 2009,211,Cuba,31,Calera,4,"79,942"
From: 01 Jan 2008,To: 31 Dec 2009,Alabama,CY 2008,165,Cuba,20,Mobile,20,"64,733"
From: 01 Jan 2008,To: 31 Dec 2009,Alabama,CY 2009,211,Cuba,31,Mobile,22,"79,942"
From: 01 Jan 2008,To: 31 Dec 2009,Alabama,CY 2008,165,Eritrea,0,Mobile,0,"64,733"
From: 01 Jan 2008,To: 31 Dec 2009,Alabama,CY 2009,211,Eritrea,1,Mobile,1,"79,942"
From: 01 Jan 2008,To: 31 Dec 2009,Alabama,CY 2008,165,Ethiopia,0,Mobile,0,"64,733"
From: 01 Jan 2008,To: 31 Dec 2009,Alabama,CY 2009,211,Ethiopia,1,Mobile,1,"79,942"
From: 01 Jan 2008,To: 31 Dec 2009,Alabama,CY 2008,165,Iran,1,Tuscaloosa,1,"64,733"
From: 01 Jan 2008,To: 31 Dec 2009,Alabama,CY 2009,211,Iran,0,Tuscaloosa,0,"79,942"
From: 01 Jan 2008,To: 31 Dec 2009,Alabama,CY 2008,165,Iraq,101,Birmingham,6,"64,733"
From: 01 Jan 2008,To: 31 Dec 2009,Alabama,CY 2009,211,Iraq,114,Birmingham,0,"79,942"
From: 01 Jan 2008,To: 31 Dec 2009,Alabama,CY 2008,165,Iraq,101,Daphne,0,"64,733"
From: 01 Jan 2008,To: 31 Dec 2009,Alabama,CY 2009,211,Iraq,114,Daphne,3,"79,942"
From: 01 Jan 2008,To: 31 Dec 2009,Alabama,CY 2008,165,Iraq,101,Jacksonville,4,"64,733"
From: 01 Jan 2008,To: 31 Dec 2009,Alabama,CY 2009,211,Iraq,114,Jacksonville,0,"79,942"
From: 01 Jan 2008,To: 31 Dec 2009,Alabama,CY 2008,165,Iraq,101,Mobile,91,"64,733"
From: 01 Jan 2008,To: 31 Dec 2009,Alabama,CY 2009,211,Iraq,114,Mobile,111,"79,942"
From: 01 Jan 2008,To: 31 Dec 2009,Alabama,CY 2008,165,Liberia,7,Mobile,5,"64,733"
From: 01 Jan 2008,To: 31 Dec 2009,Alabama,CY 2009,211,Liberia,7,Mobile,7,"79,942"
From: 01 Jan 2008,To: 31 Dec 2009,Alabama,CY 2008,165,Liberia,7,Montgomery,2,"64,733"
From: 01 Jan 2008,To: 31 Dec 2009,Alabama,CY 2009,211,Liberia,7,Montgomery,0,"79,942"
From: 01 Jan 2008,To: 31 Dec 2009,Alabama,CY 2008,165,Russia,0,Mobile,0,"64,733"
From: 01 Jan 2008,To: 31 Dec 2009,Alabama,CY 2009,211,Russia,6,Mobile,6,"79,942"
From: 01 Jan 2008,To: 31 Dec 2009,Alabama,CY 2008,165,Rwanda,0,Mobile,0,"64,733"
From: 01 Jan 2008,To: 31 Dec 2009,Alabama,CY 2009,211,Rwanda,4,Mobile,4,"79,942"
From: 01 Jan 2008,To: 31 Dec 2009,Alabama,CY 2008,165,Somalia,20,Mobile,20,"64,733"
