textbox9,textbox2,Textbox34,,,,,,,
Nationality(s): All Nationalities,State(s): All States,Data prior to 2002 was migrated into WRAPS from a legacy system therefore we are providing post-2002 data.,,,,,,,
,,,,,,,,,
Textbox87,Textbox82,nat_definition4,region_name_3,textbox37,Category3,textbox39,Assur_DestinationCity1,Cases3,Cases4
From: 01 Jan 2004,To: 31 Dec 2005,Alabama,CY 2004,82,Bosnia and Herzegovina,1,Mobile,1,"56,342"
From: 01 Jan 2004,To: 31 Dec 2005,Alabama,CY 2005,99,Bosnia and Herzegovina,0,Mobile,0,"51,897"
From: 01 Jan 2004,To: 31 Dec 2005,Alabama,CY 2004,82,Burundi,3,Mobile,3,"56,342"
From: 01 Jan 2004,To: 31 Dec 2005,Alabama,CY 2005,99,Burundi,0,Mobile,0,"51,897"
From: 01 Jan 2004,To: 31 Dec 2005,Alabama,CY 2004,82,Cuba,23,Ashland,0,"56,342"
From: 01 Jan 2004,To: 31 Dec 2005,Alabama,CY 2005,99,Cuba,6,Ashland,1,"51,897"
From: 01 Jan 2004,To: 31 Dec 2005,Alabama,CY 2004,82,Cuba,23,Mobile,23,"56,342"
From: 01 Jan 2004,To: 31 Dec 2005,Alabama,CY 2005,99,Cuba,6,Mobile,5,"51,897"
From: 01 Jan 2004,To: 31 Dec 2005,Alabama,CY 2004,82,Iran,4,Birmingham,2,"56,342"
From: 01 Jan 2004,To: 31 Dec 2005,Alabama,CY 2005,99,Iran,0,Birmingham,0,"51,897"
From: 01 Jan 2004,To: 31 Dec 2005,Alabama,CY 2004,82,Iran,4,Mobile,2,"56,342"
From: 01 Jan 2004,To: 31 Dec 2005,Alabama,CY 2005,99,Iran,0,Mobile,0,"51,897"
From: 01 Jan 2004,To: 31 Dec 2005,Alabama,CY 2004,82,Iraq,0,Mobile,0,"56,342"
From: 01 Jan 2004,To: 31 Dec 2005,Alabama,CY 2005,99,Iraq,1,Mobile,1,"51,897"
From: 01 Jan 2004,To: 31 Dec 2005,Alabama,CY 2004,82,Liberia,21,Mobile,21,"56,342"
From: 01 Jan 2004,To: 31 Dec 2005,Alabama,CY 2005,99,Liberia,10,Mobile,8,"51,897"
From: 01 Jan 2004,To: 31 Dec 2005,Alabama,CY 2004,82,Liberia,21,Montgomery,0,"56,342"
From: 01 Jan 2004,To: 31 Dec 2005,Alabama,CY 2005,99,Liberia,10,Montgomery,2,"51,897"
From: 01 Jan 2004,To: 31 Dec 2005,Alabama,CY 2004,82,Russia,0,Madison,0,"56,342"
From: 01 Jan 2004,To: 31 Dec 2005,Alabama,CY 2005,99,Russia,80,Madison,1,"51,897"
From: 01 Jan 2004,To: 31 Dec 2005,Alabama,CY 2004,82,Russia,0,Mobile,0,"56,342"
From: 01 Jan 2004,To: 31 Dec 2005,Alabama,CY 2005,99,Russia,80,Mobile,79,"51,897"
From: 01 Jan 2004,To: 31 Dec 2005,Alabama,CY 2004,82,Somalia,20,Mobile,20,"56,342"
From: 01 Jan 2004,To: 31 Dec 2005,Alabama,CY 2005,99,Somalia,0,Mobile,0,"51,897"
From: 01 Jan 2004,To: 31 Dec 2005,Alabama,CY 2004,82,Sudan,3,Mobile,3,"56,342"
From: 01 Jan 2004,To: 31 Dec 2005,Alabama,CY 2005,99,Sudan,2,Mobile,2,"51,897"
From: 01 Jan 2004,To: 31 Dec 2005,Alabama,CY 2004,82,Ukraine,3,Huntsville,3,"56,342"
From: 01 Jan 2004,To: 31 Dec 2005,Alabama,CY 2005,99,Ukraine,0,Huntsville,0,"51,897"
From: 01 Jan 2004,To: 31 Dec 2005,Alabama,CY 2004,82,Vietnam,4,Tuscaloosa,4,"56,342"
From: 01 Jan 2004,To: 31 Dec 2005,Alabama,CY 2005,99,Vietnam,0,Tuscaloosa,0,"51,897"
From: 01 Jan 2004,To: 31 Dec 2005,Alaska,CY 2004,56,Burma,1,Phoenix,1,"56,342"
From: 01 Jan 2004,To: 31 Dec 2005,Alaska,CY 2005,67,Burma,0,Phoenix,0,"51,897"
From: 01 Jan 2004,To: 31 Dec 2005,Alaska,CY 2004,56,Iran,0,Juneau,0,"56,342"
From: 01 Jan 2004,To: 31 Dec 2005,Alaska,CY 2005,67,Iran,2,Juneau,2,"51,897"
From: 01 Jan 2004,To: 31 Dec 2005,Alaska,CY 2004,56,Laos,27,Anchorage,27,"56,342"
From: 01 Jan 2004,To: 31 Dec 2005,Alaska,CY 2005,67,Laos,52,Anchorage,52,"51,897"
From: 01 Jan 2004,To: 31 Dec 2005,Alaska,CY 2004,56,Russia,3,Delta Junction,3,"56,342"
From: 01 Jan 2004,To: 31 Dec 2005,Alaska,CY 2005,67,Russia,10,Delta Junction,0,"51,897"
From: 01 Jan 2004,To: 31 Dec 2005,Alaska,CY 2004,56,Russia,3,Wasilla,0,"56,342"
