textbox9,textbox2,Textbox34,,,,,,,
Nationality(s): All Nationalities,State(s): All States,Data prior to 2002 was migrated into WRAPS from a legacy system therefore we are providing post-2002 data.,,,,,,,
,,,,,,,,,
Textbox87,Textbox82,nat_definition4,region_name_3,textbox37,Category3,textbox39,Assur_DestinationCity1,Cases3,Cases4
From: 01 Jan 2012,To: 31 Dec 2013,Alabama,CY 2012,149,Afghanistan,7,Mobile,7,"66,292"
From: 01 Jan 2012,To: 31 Dec 2013,Alabama,CY 2013,122,Afghanistan,9,Mobile,9,"66,066"
From: 01 Jan 2012,To: 31 Dec 2013,Alabama,CY 2012,149,Burma,15,Mobile,15,"66,292"
From: 01 Jan 2012,To: 31 Dec 2013,Alabama,CY 2013,122,Burma,7,Mobile,7,"66,066"
From: 01 Jan 2012,To: 31 Dec 2013,Alabama,CY 2012,149,Cuba,6,Mobile,5,"66,292"
From: 01 Jan 2012,To: 31 Dec 2013,Alabama,CY 2013,122,Cuba,6,Mobile,6,"66,066"
From: 01 Jan 2012,To: 31 Dec 2013,Alabama,CY 2012,149,Cuba,6,Theodore,1,"66,292"
From: 01 Jan 2012,To: 31 Dec 2013,Alabama,CY 2013,122,Cuba,6,Theodore,0,"66,066"
From: 01 Jan 2012,To: 31 Dec 2013,Alabama,CY 2012,149,Dem. Rep. Congo,21,Mobile,21,"66,292"
From: 01 Jan 2012,To: 31 Dec 2013,Alabama,CY 2013,122,Dem. Rep. Congo,0,Mobile,0,"66,066"
From: 01 Jan 2012,To: 31 Dec 2013,Alabama,CY 2012,149,Eritrea,1,Mobile,1,"66,292"
From: 01 Jan 2012,To: 31 Dec 2013,Alabama,CY 2013,122,Eritrea,1,Mobile,1,"66,066"
From: 01 Jan 2012,To: 31 Dec 2013,Alabama,CY 2012,149,Ethiopia,7,Mobile,7,"66,292"
From: 01 Jan 2012,To: 31 Dec 2013,Alabama,CY 2013,122,Ethiopia,1,Mobile,1,"66,066"
From: 01 Jan 2012,To: 31 Dec 2013,Alabama,CY 2012,149,Iran,1,Mobile,1,"66,292"
From: 01 Jan 2012,To: 31 Dec 2013,Alabama,CY 2013,122,Iran,6,Mobile,6,"66,066"
From: 01 Jan 2012,To: 31 Dec 2013,Alabama,CY 2012,149,Iraq,18,Birmingham,2,"66,292"
From: 01 Jan 2012,To: 31 Dec 2013,Alabama,CY 2013,122,Iraq,64,Birmingham,0,"66,066"
From: 01 Jan 2012,To: 31 Dec 2013,Alabama,CY 2012,149,Iraq,18,Dadeville,0,"66,292"
From: 01 Jan 2012,To: 31 Dec 2013,Alabama,CY 2013,122,Iraq,64,Dadeville,1,"66,066"
From: 01 Jan 2012,To: 31 Dec 2013,Alabama,CY 2012,149,Iraq,18,Mobile,16,"66,292"
From: 01 Jan 2012,To: 31 Dec 2013,Alabama,CY 2013,122,Iraq,64,Mobile,63,"66,066"
From: 01 Jan 2012,To: 31 Dec 2013,Alabama,CY 2012,149,Pakistan,15,Mobile,15,"66,292"
From: 01 Jan 2012,To: 31 Dec 2013,Alabama,CY 2013,122,Pakistan,0,Mobile,0,"66,066"
From: 01 Jan 2012,To: 31 Dec 2013,Alabama,CY 2012,149,Somalia,48,Mobile,48,"66,292"
From: 01 Jan 2012,To: 31 Dec 2013,Alabama,CY 2013,122,Somalia,6,Mobile,6,"66,066"
From: 01 Jan 2012,To: 31 Dec 2013,Alabama,CY 2012,149,Sudan,10,Mobile,10,"66,292"
From: 01 Jan 2012,To: 31 Dec 2013,Alabama,CY 2013,122,Sudan,22,Mobile,22,"66,066"
From: 01 Jan 2012,To: 31 Dec 2013,Alaska,CY 2012,97,Bhutan,6,Anchorage,6,"66,292"
From: 01 Jan 2012,To: 31 Dec 2013,Alaska,CY 2013,89,Bhutan,5,Anchorage,5,"66,066"
From: 01 Jan 2012,To: 31 Dec 2013,Alaska,CY 2012,97,Burma,30,Anchorage,30,"66,292"
From: 01 Jan 2012,To: 31 Dec 2013,Alaska,CY 2013,89,Burma,9,Anchorage,9,"66,066"
From: 01 Jan 2012,To: 31 Dec 2013,Alaska,CY 2012,97,Colombia,0,Anchorage,0,"66,292"
From: 01 Jan 2012,To: 31 Dec 2013,Alaska,CY 2013,89,Colombia,6,Anchorage,6,"66,066"
From: 01 Jan 2012,To: 31 Dec 2013,Alaska,CY 2012,97,Cuba,0,Anchorage,0,"66,292"
From: 01 Jan 2012,To: 31 Dec 2013,Alaska,CY 2013,89,Cuba,3,Anchorage,3,"66,066"
From: 01 Jan 2012,To: 31 Dec 2013,Alaska,CY 2012,97,Eritrea,2,Anchorage,2,"66,292"
From: 01 Jan 2012,To: 31 Dec 2013,Alaska,CY 2013,89,Eritrea,1,Anchorage,1,"66,066"
From: 01 Jan 2012,To: 31 Dec 2013,Alaska,CY 2012,97,Ethiopia,1,Anchorage,1,"66,292"
