textbox9,textbox2,Textbox34,,,,,,,
Nationality(s): All Nationalities,State(s): All States,Data prior to 2002 was migrated into WRAPS from a legacy system therefore we are providing post-2002 data.,,,,,,,
,,,,,,,,,
Textbox87,Textbox82,nat_definition4,region_name_3,textbox37,Category3,textbox39,Assur_DestinationCity1,Cases3,Cases4
From: 01 Jan 2002,To: 31 Dec 2003,Alabama,CY 2002,39,Afghanistan,10,Mobile,10,"30,289"
From: 01 Jan 2002,To: 31 Dec 2003,Alabama,CY 2003,51,Afghanistan,5,Mobile,5,"32,226"
From: 01 Jan 2002,To: 31 Dec 2003,Alabama,CY 2002,39,Croatia,3,Mobile,3,"30,289"
From: 01 Jan 2002,To: 31 Dec 2003,Alabama,CY 2003,51,Croatia,0,Mobile,0,"32,226"
From: 01 Jan 2002,To: 31 Dec 2003,Alabama,CY 2002,39,Cuba,4,Mobile,4,"30,289"
From: 01 Jan 2002,To: 31 Dec 2003,Alabama,CY 2003,51,Cuba,13,Mobile,13,"32,226"
From: 01 Jan 2002,To: 31 Dec 2003,Alabama,CY 2002,39,Dem. Rep. Congo,0,Mobile,0,"30,289"
From: 01 Jan 2002,To: 31 Dec 2003,Alabama,CY 2003,51,Dem. Rep. Congo,3,Mobile,3,"32,226"
From: 01 Jan 2002,To: 31 Dec 2003,Alabama,CY 2002,39,Ethiopia,0,Huntsville,0,"30,289"
From: 01 Jan 2002,To: 31 Dec 2003,Alabama,CY 2003,51,Ethiopia,3,Huntsville,3,"32,226"
From: 01 Jan 2002,To: 31 Dec 2003,Alabama,CY 2002,39,Iran,2,Birmingham,1,"30,289"
From: 01 Jan 2002,To: 31 Dec 2003,Alabama,CY 2003,51,Iran,4,Birmingham,0,"32,226"
From: 01 Jan 2002,To: 31 Dec 2003,Alabama,CY 2002,39,Iran,2,Huntsville,0,"30,289"
From: 01 Jan 2002,To: 31 Dec 2003,Alabama,CY 2003,51,Iran,4,Huntsville,3,"32,226"
From: 01 Jan 2002,To: 31 Dec 2003,Alabama,CY 2002,39,Iran,2,Mobile,1,"30,289"
From: 01 Jan 2002,To: 31 Dec 2003,Alabama,CY 2003,51,Iran,4,Mobile,1,"32,226"
From: 01 Jan 2002,To: 31 Dec 2003,Alabama,CY 2002,39,Liberia,0,Mobile,0,"30,289"
From: 01 Jan 2002,To: 31 Dec 2003,Alabama,CY 2003,51,Liberia,7,Mobile,7,"32,226"
From: 01 Jan 2002,To: 31 Dec 2003,Alabama,CY 2002,39,Serbia,5,Mobile,5,"30,289"
From: 01 Jan 2002,To: 31 Dec 2003,Alabama,CY 2003,51,Serbia,6,Mobile,6,"32,226"
From: 01 Jan 2002,To: 31 Dec 2003,Alabama,CY 2002,39,Sierra Leone,2,Mobile,2,"30,289"
From: 01 Jan 2002,To: 31 Dec 2003,Alabama,CY 2003,51,Sierra Leone,2,Mobile,2,"32,226"
From: 01 Jan 2002,To: 31 Dec 2003,Alabama,CY 2002,39,Sudan,1,Mobile,1,"30,289"
From: 01 Jan 2002,To: 31 Dec 2003,Alabama,CY 2003,51,Sudan,3,Mobile,3,"32,226"
From: 01 Jan 2002,To: 31 Dec 2003,Alabama,CY 2002,39,Ukraine,2,Huntsville,2,"30,289"
From: 01 Jan 2002,To: 31 Dec 2003,Alabama,CY 2003,51,Ukraine,1,Huntsville,0,"32,226"
From: 01 Jan 2002,To: 31 Dec 2003,Alabama,CY 2002,39,Ukraine,2,Pelham,0,"30,289"
From: 01 Jan 2002,To: 31 Dec 2003,Alabama,CY 2003,51,Ukraine,1,Pelham,1,"32,226"
From: 01 Jan 2002,To: 31 Dec 2003,Alabama,CY 2002,39,Vietnam,10,Mobile,7,"30,289"
From: 01 Jan 2002,To: 31 Dec 2003,Alabama,CY 2003,51,Vietnam,4,Mobile,4,"32,226"
From: 01 Jan 2002,To: 31 Dec 2003,Alabama,CY 2002,39,Vietnam,10,Prattville,3,"30,289"
From: 01 Jan 2002,To: 31 Dec 2003,Alabama,CY 2003,51,Vietnam,4,Prattville,0,"32,226"
From: 01 Jan 2002,To: 31 Dec 2003,Alaska,CY 2002,31,Bosnia and Herzegovina,1,Anchorage,1,"30,289"
From: 01 Jan 2002,To: 31 Dec 2003,Alaska,CY 2003,16,Bosnia and Herzegovina,0,Anchorage,0,"32,226"
From: 01 Jan 2002,To: 31 Dec 2003,Alaska,CY 2002,31,Moldova,12,Delta Junction,12,"30,289"
From: 01 Jan 2002,To: 31 Dec 2003,Alaska,CY 2003,16,Moldova,0,Delta Junction,0,"32,226"
From: 01 Jan 2002,To: 31 Dec 2003,Alaska,CY 2002,31,Russia,5,Delta Junction,0,"30,289"
From: 01 Jan 2002,To: 31 Dec 2003,Alaska,CY 2003,16,Russia,8,Delta Junction,3,"32,226"
