textbox9,textbox2,Textbox34,,,,,,,
Nationality(s): All Nationalities,State(s): All States,Data prior to 2002 was migrated into WRAPS from a legacy system therefore we are providing post-2002 data.,,,,,,,
,,,,,,,,,
Textbox87,Textbox82,nat_definition4,region_name_3,textbox37,Category3,textbox39,Assur_DestinationCity1,Cases3,Cases4
From: 01 Jan 2010,To: 31 Dec 2011,Alabama,CY 2010,153,Afghanistan,8,Mobile,8,"71,361"
From: 01 Jan 2010,To: 31 Dec 2011,Alabama,CY 2011,86,Afghanistan,5,Mobile,5,"51,458"
From: 01 Jan 2010,To: 31 Dec 2011,Alabama,CY 2010,153,Burma,0,Auburn,0,"71,361"
From: 01 Jan 2010,To: 31 Dec 2011,Alabama,CY 2011,86,Burma,3,Auburn,1,"51,458"
From: 01 Jan 2010,To: 31 Dec 2011,Alabama,CY 2010,153,Burma,0,Birmingham,0,"71,361"
From: 01 Jan 2010,To: 31 Dec 2011,Alabama,CY 2011,86,Burma,3,Birmingham,1,"51,458"
From: 01 Jan 2010,To: 31 Dec 2011,Alabama,CY 2010,153,Burma,0,Mobile,0,"71,361"
From: 01 Jan 2010,To: 31 Dec 2011,Alabama,CY 2011,86,Burma,3,Mobile,1,"51,458"
From: 01 Jan 2010,To: 31 Dec 2011,Alabama,CY 2010,153,Burundi,1,Mobile,1,"71,361"
From: 01 Jan 2010,To: 31 Dec 2011,Alabama,CY 2011,86,Burundi,0,Mobile,0,"51,458"
From: 01 Jan 2010,To: 31 Dec 2011,Alabama,CY 2010,153,Cuba,19,Mobile,17,"71,361"
From: 01 Jan 2010,To: 31 Dec 2011,Alabama,CY 2011,86,Cuba,0,Mobile,0,"51,458"
From: 01 Jan 2010,To: 31 Dec 2011,Alabama,CY 2010,153,Cuba,19,Russellville,2,"71,361"
From: 01 Jan 2010,To: 31 Dec 2011,Alabama,CY 2011,86,Cuba,0,Russellville,0,"51,458"
From: 01 Jan 2010,To: 31 Dec 2011,Alabama,CY 2010,153,Dem. Rep. Congo,7,Mobile,7,"71,361"
From: 01 Jan 2010,To: 31 Dec 2011,Alabama,CY 2011,86,Dem. Rep. Congo,0,Mobile,0,"51,458"
From: 01 Jan 2010,To: 31 Dec 2011,Alabama,CY 2010,153,Eritrea,4,Mobile,4,"71,361"
From: 01 Jan 2010,To: 31 Dec 2011,Alabama,CY 2011,86,Eritrea,0,Mobile,0,"51,458"
From: 01 Jan 2010,To: 31 Dec 2011,Alabama,CY 2010,153,Ethiopia,3,Mobile,3,"71,361"
From: 01 Jan 2010,To: 31 Dec 2011,Alabama,CY 2011,86,Ethiopia,1,Mobile,1,"51,458"
From: 01 Jan 2010,To: 31 Dec 2011,Alabama,CY 2010,153,Iran,2,Mobile,0,"71,361"
From: 01 Jan 2010,To: 31 Dec 2011,Alabama,CY 2011,86,Iran,15,Mobile,15,"51,458"
From: 01 Jan 2010,To: 31 Dec 2011,Alabama,CY 2010,153,Iran,2,Pelham,2,"71,361"
From: 01 Jan 2010,To: 31 Dec 2011,Alabama,CY 2011,86,Iran,15,Pelham,0,"51,458"
From: 01 Jan 2010,To: 31 Dec 2011,Alabama,CY 2010,153,Iraq,83,Huntsville,1,"71,361"
From: 01 Jan 2010,To: 31 Dec 2011,Alabama,CY 2011,86,Iraq,17,Huntsville,0,"51,458"
From: 01 Jan 2010,To: 31 Dec 2011,Alabama,CY 2010,153,Iraq,83,Mobile,81,"71,361"
From: 01 Jan 2010,To: 31 Dec 2011,Alabama,CY 2011,86,Iraq,17,Mobile,16,"51,458"
From: 01 Jan 2010,To: 31 Dec 2011,Alabama,CY 2010,153,Iraq,83,Prattville,1,"71,361"
From: 01 Jan 2010,To: 31 Dec 2011,Alabama,CY 2011,86,Iraq,17,Prattville,0,"51,458"
From: 01 Jan 2010,To: 31 Dec 2011,Alabama,CY 2010,153,Iraq,83,Vestavia Hills,0,"71,361"
From: 01 Jan 2010,To: 31 Dec 2011,Alabama,CY 2011,86,Iraq,17,Vestavia Hills,1,"51,458"
From: 01 Jan 2010,To: 31 Dec 2011,Alabama,CY 2010,153,Somalia,25,Albertville,0,"71,361"
From: 01 Jan 2010,To: 31 Dec 2011,Alabama,CY 2011,86,Somalia,45,Albertville,5,"51,458"
From: 01 Jan 2010,To: 31 Dec 2011,Alabama,CY 2010,153,Somalia,25,Mobile,25,"71,361"
From: 01 Jan 2010,To: 31 Dec 2011,Alabama,CY 2011,86,Somalia,45,Mobile,40,"51,458"
From: 01 Jan 2010,To: 31 Dec 2011,Alabama,CY 2010,153,Vietnam,1,Mobile,1,"71,361"
From: 01 Jan 2010,To: 31 Dec 2011,Alabama,CY 2011,86,Vietnam,0,Mobile,0,"51,458"
From: 01 Jan 2010,To: 31 Dec 2011,Alaska,CY 2010,107,Bhutan,42,Anchorage,42,"71,361"
